kanji, hanViet
異    ,     DỊ   
胃    ,     VỊ   
遺    ,     DI   
域    ,     VỰC   
宇    ,     VŨ   
映    ,     ÁNH   
延    ,     DUYÊN   
沿    ,     DUYÊN   
恩    ,     ÂN   
我    ,     NGÃ   
灰    ,     HÔI   
拡    ,     KHUẾCH   
閣    ,     CÁC   
革    ,     CÁCH   
割    ,     CÁT   
株    ,     CHU   
巻    ,     QUYỂN   
干    ,     CAN   
看    ,     KHÁN   
簡    ,     GIẢN   
危    ,     NGUY   
揮    ,     HUY   
机    ,     KỶ   
貴    ,     QUÝ   
疑    ,     NGHI   
吸    ,     HẤP   
供    ,     CUNG   
胸    ,     HUNG   
郷    ,     HƯƠNG   
勤    ,     CẦN   
筋    ,     CÂN   
敬    ,     KÍNH   
系    ,     HỆ   
警    ,     CẢNH   
劇    ,     KỊCH   
激    ,     KHÍCH/ KÍCH   
穴    ,     HUYỆT   
券    ,     KHOÁN   
憲    ,     HIẾN   
権    ,     QUYỀN   
絹    ,     QUYÊN   
厳    ,     NGHIÊM   
源    ,     NGUYÊN   
呼    ,     HÔ   
己    ,     KỶ   
誤    ,     NGỘ   
后    ,     HẬU   
孝    ,     HIẾU   
皇    ,     HOÀNG   
紅    ,     HỒNG   
鋼    ,     CƯƠNG   
降    ,     GIÁNG   
刻    ,     KHẮC   
穀    ,     CỐC   
骨    ,     CỐT   
困    ,     KHỐN   
砂    ,     SA   
座    ,     TỌA   
済    ,     TẾ   
裁    ,     TÀI   
策    ,     SÁCH   
冊    ,     SÁCH   
蚕    ,     TÀM   
姿    ,     TƯ   
私    ,     TƯ   
至    ,     CHÍ   
視    ,     THỊ   
詞    ,     TỪ   
誌    ,     CHÍ   
磁    ,     TỪ   
射    ,     XẠ   
捨    ,     XẢ   
尺    ,     XÍCH   
若    ,     NHƯỢC   
樹    ,     THỤ   
収    ,     THU   
宗    ,     TÔNG   
就    ,     TỰU   
衆    ,     CHÚNG   
従    ,     TÒNG   
縦    ,     TUNG   
縮    ,     SÚC   
熟    ,     THỤC   
純    ,     THUẦN   
処    ,     XỬ   
署    ,     THỰ   
諸    ,     CHƯ   
除    ,     TRỪ   
傷    ,     THƯƠNG   
将    ,     TƯƠNG   
承    ,     THỪA   
障    ,     CHƯỚNG   
蒸    ,     CHƯNG   
針    ,     CHÂM   
仁    ,     NHÂN   
垂    ,     THÙY   
推    ,     SUY   
寸    ,     THỐN   
盛    ,     THỊNH   
聖    ,     THÁNH   
誠    ,     THÀNH   
舌    ,     THIỆT   
宣    ,     TUYÊN   
専    ,     CHUYÊN   
泉    ,     TUYỀN   
洗    ,     TIỂN   
染    ,     NHIỄM   
銭    ,     TIỀN   
善    ,     THIỆN   
創    ,     SÁNG   
奏    ,     TẤU   
層    ,     TẦNG   
操    ,     THAO   
窓    ,     SONG   
装    ,     TRANG   
臓    ,     TẠNG   
蔵    ,     TÀNG   
存    ,     TỒN   
尊    ,     TÔN   
退    ,     THOÁI   
宅    ,     TRẠCH   
担    ,     ĐẢM   
探    ,     THÁM   
誕    ,     ĐẢN   
暖    ,     NOÃN   
段    ,     ĐOẠN   
値    ,     TRỊ   
宙    ,     TRỤ   
忠    ,     TRUNG   
著    ,     TRỨ   
庁    ,     SẢNH   
潮    ,     TRIỀU   
腸    ,     TRƯỜNG   
頂    ,     ĐỈNH   
賃    ,     NHẪM   
痛    ,     THỐNG   
敵    ,     ĐỊCH   
展    ,     TRIỂN   
党    ,     ĐẢNG   
糖    ,     ĐƯỜNG   
討    ,     THẢO   
届    ,     GIỚI   
難    ,     NAN   
乳    ,     NHŨ   
認    ,     NHẬN   
納    ,     NẠP   
脳    ,     NÃO   
派    ,     PHÁI   
俳    ,     BÀI   
拝    ,     BÁI   
背    ,     BỐI   
肺    ,     PHẾ   
班    ,     BAN   
晩    ,     VÃN   
否    ,     PHỦ   
批    ,     PHÊ   
秘    ,     BÍ   
俵    ,     BIỂU   
腹    ,     PHÚC   
奮    ,     PHẤN   
並    ,     TỊNH   
閉    ,     BẾ   
陛    ,     BỆ   
片    ,     PHIẾN   
補    ,     BỔ   
暮    ,     MỘ   
宝    ,     BẢO   
訪    ,     PHỎNG   
亡    ,     VONG   
忘    ,     VONG   
棒    ,     BỔNG   
枚    ,     MAI   
幕    ,     MẠC   
密    ,     MẬT   
盟    ,     MINH   
模    ,     MÔ   
訳    ,     DỊCH   
優    ,     ƯU   
郵    ,     BƯU   
預    ,     DỰ   
幼    ,     ẤU   
欲    ,     DỤC   
翌    ,     DỰC   
乱    ,     LOẠN   
卵    ,     NOÃN   
覧    ,     LÃM   
裏    ,     LÝ   
律    ,     LUẬT   
臨    ,     LÂM   
朗    ,     LÃNG   
論    ,     LUẬN   
